date,no,order,category,color id,style pattern,style color,takeon at,takeoff at,shower
1,1,1,underwear,1,,,16,452,
1,2,2,socks,2,,,16,452,
1,3,3,bra,3,,,16,452,
1,4,4,undershirt,3,,,16,452,
1,5,5,long sleeve,3,stripes,6,16,452,
1,6,6,pants,2,,,16,452,
1,7,7,shoes,4,,,16,452,
1,8,8,scarf,5,,,34,78,
1,8,8,scarf,5,,,154,204,
1,8,8,scarf,5,,,390,435,
1,8,8,scarf,5,,,470,494,
1,8,8,scarf,5,,,583,615,
1,9,9,jacket,5,,,34,435,
1,9,9,jacket,5,,,470,494,
1,9,9,jacket,5,,,583,615,
1,10,10,berret,6,,,34,78,
1,10,10,berret,6,,,180,203,
1,10,10,berret,6,,,390,435,
1,10,10,berret,6,,,470,494,
1,10,10,berret,6,,,583,615,
1,11,1,underwear,7,,,470,668,
1,12,2,socks,8,,,470,668,
1,13,3,bra,5,,,470,668,
1,14,4,undershirt,5,,,470,668,
1,15,5,turtleneck,3,,,470,668,
1,16,6,pants,3,,,470,668,
1,17,7,shoes,4,,,470,668,
2,1,1,underwear,3,,,16,668,
2,2,2,socks,7,,,16,668,
2,3,3,bra,3,,,16,668,
2,4,4,undershirt,9,,,16,668,
2,5,5,long sleeve,9,stripes,3,16,668,
2,6,6,pants,10,,,16,668,
2,7,7,shoes,4,,,16,668,
2,8,8,scarf,9,,,16,75,
2,8,8,scarf,9,,,206,236,
2,8,8,scarf,9,,,268,296,
2,8,8,scarf,9,,,390,408,
2,8,8,scarf,9,,,418,430,
2,8,8,scarf,9,,,628,668,
2,9,9,jacket,3,,,16,76,
2,9,9,jacket,3,,,206,237,
2,9,9,jacket,3,,,268,296,
2,9,9,jacket,3,,,389,448,
2,9,9,jacket,3,,,628,668,
3,1,1,underwear,11,,,16,668,
3,2,2,socks,2,,,16,668,
3,3,3,bra,3,,,16,668,
3,4,4,undershirt,3,,,16,668,
3,5,5,turtleneck,5,stripes,3,16,668,
3,6,6,pants,3,,,16,668,
3,7,7,shoes,4,,,16,668,
3,8,8,scarf,5,,,16,68,
3,8,8,scarf,5,,,215,238,
3,8,8,scarf,5,,,285,300,
3,8,8,scarf,5,,,412,468,
3,8,8,scarf,5,,,596,668,
3,9,9,jacket,5,,,16,69,
3,9,9,jacket,5,,,215,239,
3,9,9,jacket,5,,,288,302,
3,9,9,jacket,5,,,412,466,
3,9,9,jacket,5,,,596,668,
4,1,1,underwear,6,,,16,420,
4,2,2,socks,12,,,16,420,
4,3,3,bra,3,,,16,420,
4,4,4,undershirt,4,,,16,420,
4,5,5,sweater,4,,,16,420,
4,6,6,pants,8,,,16,420,
4,6,6,pants,8,,,450,668,
4,7,7,shoes,4,,,16,420,
4,7,7,shoes,4,,,450,668,
4,8,8,scarf,5,,,36,90,
4,8,8,scarf,5,,,187,218,
4,8,8,scarf,5,,,237,247,
4,8,8,scarf,5,,,366,402,
4,8,8,scarf,5,,,450,488,
4,8,8,scarf,5,,,588,620,
4,9,9,jacket,5,,,36,90,
4,9,9,jacket,5,,,187,219,
4,9,9,jacket,5,,,237,247,
4,9,9,jacket,5,,,364,402,
4,9,9,jacket,6,,,450,488,
4,9,9,jacket,6,,,588,620,
4,11,1,underwear,5,,,450,668,
4,12,2,socks,2,,,450,668,
4,13,3,bra,3,,,450,668,
4,14,4,undershirt,9,,,450,668,
4,15,5,sweater,8,pattern,9,450,668,
4,16,10,berret,10,,,450,488,
4,16,10,berret,10,,,592,620,
5,1,1,underwear,1,,,16,466,
5,2,2,socks,12,,,16,466,
5,3,3,bra,3,,,16,466,
5,3,3,bra,3,,,488,668,
5,4,4,undershirt,3,,,16,466,
5,4,4,undershirt,3,,,488,668,
5,5,5,turtleneck,3,,,16,466,
5,5,5,turtleneck,3,,,488,668,
5,6,6,pants,5,stripes,12,16,466,
5,6,6,pants,5,stripes,12,488,668,
5,7,7,shoes,4,,,16,466,
5,7,7,shoes,4,,,488,668,
5,8,8,scarf,13,,,16,66,
5,8,8,scarf,13,,,115,136,
5,8,8,scarf,13,,,196,252,
5,8,8,scarf,13,,,284,300,
5,8,8,scarf,13,,,428,466,
5,8,8,scarf,13,,,488,510,
5,8,8,scarf,13,,,636,668,
5,9,9,jacket,5,,,16,66,
5,9,9,jacket,5,,,115,136,
5,9,9,jacket,5,,,196,256,
5,9,9,jacket,5,,,428,466,
5,9,9,jacket,5,,,488,510,
5,9,9,jacket,5,,,636,668,
5,10,10,berret,2,,,16,66,
5,10,10,berret,2,,,116,136,
5,10,10,berret,2,,,195,256,
5,10,10,berret,2,,,428,466,
5,10,10,berret,2,,,488,510,
5,10,10,berret,2,,,636,668,
5,11,1,underwear,12,,,488,668,
5,12,2,socks,4,,,488,668,
6,1,1,underwear,13,,,16,404,
6,2,2,socks,8,,,16,404,
6,3,3,bra,3,,,16,404,
6,3,3,bra,3,,,426,668,
6,4,4,undershirt,3,,,16,404,
6,5,5,long sleeve,3,,,16,404,
6,6,6,pants,8,,,16,404,
6,6,6,pants,8,,,426,668,
6,7,7,shoes,4,,,16,404,
6,7,7,shoes,4,,,426,668,
6,8,8,scarf,5,,,52,118,
6,8,8,scarf,5,,,208,252,
6,8,8,scarf,5,,,296,404,
6,8,8,scarf,5,,,426,472,
6,8,8,scarf,5,,,492,668,
6,9,9,jacket,3,pattern,8,52,126,
6,9,9,jacket,3,pattern,8,208,252,
6,9,9,jacket,3,pattern,8,360,404,
6,9,9,jacket,3,pattern,8,426,472,
6,9,9,jacket,3,pattern,8,614,668,
6,10,10,berret,10,,,52,126,
6,10,10,berret,10,,,360,404,
6,10,10,berret,10,,,426,470,
6,10,10,berret,10,,,614,668,
6,11,1,underwear,4,,,426,668,
6,12,2,socks,2,,,426,668,
6,13,4,undershirt,3,,,426,668,
6,14,5,sweater,2,,,426,668,
7,1,1,underwear,3,,,16,668,
7,2,2,socks,3,,,16,668,
7,3,3,bra,3,,,16,668,
7,4,4,undershirt,3,,,16,668,
7,5,5,sweater,3,,,16,668,
7,6,6,pants,3,,,16,668,
7,7,7,shoes,4,,,16,668,
7,8,8,scarf,7,pattern,2,94,155,
7,8,8,scarf,7,pattern,2,284,368,
7,8,8,scarf,7,pattern,2,475,668,
7,9,9,jacket,3,,,94,155,
7,9,9,jacket,3,,,284,366,
7,9,9,jacket,3,,,570,668,
7,10,10,berret,8,,,94,132,
7,10,10,berret,8,,,570,668,
1,,,,,,,0,16,1
2,,,,,,,0,16,1
3,,,,,,,0,16,1
4,,,,,,,0,16,1
5,,,,,,,0,16,1
6,,,,,,,0,16,1
7,,,,,,,0,16,1
1,,,,,,,452,470,1
2,,,,,,,668,690,1
3,,,,,,,668,690,1
7,,,,,,,668,690,1
4,,,,,,,420,450,1
5,,,,,,,466,488,1
6,,,,,,,404,426,1